Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.4201527454692E-08,8.13980510222976E-05,0.00232072233173067,0,0,0,0.141668146577088,6.01865771577034E-05,-1.85787589074741E-08,-2.39865511407209E-12,8.48421067900591E-05,1.69308530934201E-08,8.77373870509691E-05,0,0,0,0,0,0,package://dk2.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/base_link.STL,,link1-1/link0-1_v0.1.0-1;link1-1/DM-J4340-2EC-1/DM-J4340-2EC.step-1/2025-11-24-08-16-39-681_1.step-1/2025-11-24-08-16-39-681_2.step-1;link1-1/DM-J4340-2EC-1/DM-J4340-2EC.step-1/2025-11-24-08-16-39-681_1.step-1/2025-11-24-08-16-39-681_3.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00465660414352077,0.0181967805176876,0.00106205093012862,0,0,0,0.0285129056334858,3.19051512949826E-05,2.5850275700468E-06,-4.82440392516954E-06,3.14929461513429E-05,-5.89577909257387E-07,1.18526839427376E-05,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link1.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link1.STL,,link2-1/link1-2_v0.1.0-2;link2-1/dm-shaft-extension_v0.1.0-1,Origin_joint1,基准轴1,joint1,revolute,0,0,0.027175,1.5707963267949,0,-1.82869775211856,base_link,0,-1,0,2,3,-3,3,,,,,,,,
link2,-0.0289764514071911,0.00740232533936476,-0.0822056226155145,0,0,0,0.388235136828648,0.00170831851808588,-2.84576369335424E-06,5.21053832137668E-05,0.00166551748326942,8.44709775535646E-05,0.000163222874065412,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link2.STL,,link3-1/dm4340adapted-2/DM-J4340-2EC-1/DM-J4340-2EC.step-1/2025-11-24-08-16-39-681_1.step-1/2025-11-24-08-16-39-681_2.step-1;link3-1/dm4340adapted-2/dm-adapter_v0.1.0-1;link3-1/dm4340adapted-2/DM-J4340-2EC-1/DM-J4340-2EC.step-1/2025-11-24-08-16-39-681_1.step-1/2025-11-24-08-16-39-681_3.step-1;link3-1/dm4340adapted-2/dm-shaft-extension_v0.1.0-1;link3-1/link2-3_v0.1.0-4;link3-1/link2-3_v0.1.0-2;link3-1/link2-3-frame_v0.1.0-2;link3-1/dm4340adapted-2/dm-idler_v0.1.0-1,Origin_joint2,基准轴2,joint2,revolute,-0.026315,0.0435,-0.025435,3.1416,1.3129,3.1416,link1,1,0,0,3,3,-3,3,,,,,,,,
link3,0.00117448104034228,0.0112814759819108,-0.0781248534672838,0,0,0,0.313559637709797,0.000625725129934808,1.16696300618421E-08,8.47055402578423E-11,0.000563956200389484,-0.000116973550675003,0.000128691567896901,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link3.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link3.STL,,link4-1/link3-4-frame_v0.1.0-1;link4-1/link3-4-2_v0.1.0-1;link4-1/link3-4-2_v0.1.0-2;link4-1/link3-4-1_v0.1.0-1;link4-1/link3-4-1_v0.1.0-2;link4-1/dm4340adapted-1/dm-shaft-extension_v0.1.0-1;link4-1/dm4340adapted-1/dm-adapter_v0.1.0-1;link4-1/dm4340adapted-1/DM-J4340-2EC-1/DM-J4340-2EC.step-1/2025-11-24-08-16-39-681_1.step-1/2025-11-24-08-16-39-681_2.step-1;link4-1/dm4340adapted-1/DM-J4340-2EC-1/DM-J4340-2EC.step-1/2025-11-24-08-16-39-681_1.step-1/2025-11-24-08-16-39-681_3.step-1;link4-1/dm4340adapted-1/DM-J4340-2EC-1/DM-J4340-2EC.step-1/2025-11-24-08-16-39-681_1.step-1/2025-11-24-08-16-39-681_4.step-1;link4-1/dm4340adapted-1/dm-idler_v0.1.0-1,Origin_joint3,基准轴3,joint3,revolute,-0.0217755853007845,0.0210468861591903,-0.264042184068792,-2.94236409100164,0.0336629169538147,-3.14159265358979,link2,-1,0,0,3,3,-3,3,,,,,,,,
link4,-0.00193819206428262,-0.00222719876457325,-0.00242291226998932,0,0,0,0.140403110673593,6.10869438219043E-05,-1.72988131562216E-07,-2.77253413842875E-07,5.34584423484548E-05,-3.90826027510622E-06,5.27203234682394E-05,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link4.STL,0.450980392156863,0.450980392156863,0.450980392156863,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link4.STL,,link5-1/dm4310adapted-1/DM-J4310-2EC-1;link5-1/link4-5_v0.1.0-2;link5-1/dm4310adapted-1/dm-idler_v0.1.0-1;link5-1/dm4310adapted-1/dm-adapter_v0.1.0-1;link5-1/dm4310adapted-1/dm-shaft-extension_v0.1.0-1,Origin_joint4,基准轴4,joint4,revolute,0,-0.0051962,-0.25122,0.28508,-0.032187,3.1322,link3,1,0,0,3,3,-3,3,,,,,,,,
link5,-0.000222629539317291,0.00251977021995765,-0.0140312597975337,0,0,0,0.126310311601116,3.53317488726104E-05,-1.86899580182592E-07,-1.05400610695646E-07,3.6690763273948E-05,5.57185072016224E-07,4.59650327562335E-05,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link5.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link5.STL,,link6-1/link5-6-rest_v0.1.0-2;link6-1/link5-6_v0.1.0-1;link6-1/dm-shaft-extension_v0.1.0-1;link6-1/DM-J4310-2EC-1,Origin_joint5,基准轴5,joint5,revolute,-0.0020791,-0.0645,-0.061965,1.5708,0.14561,0,link4,0,0,1,3,3,-3,3,,,,,,,,
link6,1.26084541834872E-06,0.00709055799916366,0.000117259299013933,0,0,0,0.128405900569685,3.60658504797631E-05,-5.34405243977157E-10,2.71992271898125E-08,5.3287632122327E-05,-1.12175979668212E-07,3.59484990063997E-05,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link6.STL,0.450980392156863,0.450980392156863,0.450980392156863,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/link6.STL,,link7-1/DM-J4310-2EC-1;link7-1/link6-7-2_v0.1.0-1;link7-1/link6-7-1_v0.1.0-1,Origin_joint6,基准轴6,joint6,revolute,0.00073747,-0.006458,-0.0645,0,0,-3.0279,link5,0,-1,0,3,3,-3,3,,,,,,,,
gripper,4.57922545641682E-05,0.0109875709840463,-0.0172432148087504,0,0,0,0.178826568864767,5.02709625680338E-05,2.71431800222985E-08,4.2011935223565E-08,0.000132753700798434,-1.12667846713826E-06,0.00015486227552687,0,0,0,0,0,0,package://dk2.SLDASM/meshes/gripper.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/gripper.STL,,gripper-1/uvc-camera-mount_v0.1.0-1;gripper-1/DM-J4310-2EC-1;gripper-1/frame_v0.1.0-1,Origin_gripper_joint,基准轴7,gripper_joint,fixed,0,0.0795,0,1.5708,0,3.1416,link6,0,0,0,,,,,,,,,,,,
finger_l,-0.0404427556165687,-0.000349370263877435,0.0165725673862358,0,0,0,0.0338749597881643,1.47424857623359E-05,7.10765382327682E-10,2.35325424219166E-06,1.10809229510692E-05,-9.87570698056843E-08,8.84164714537918E-06,0,0,0,0,0,0,package://dk2.SLDASM/meshes/finger_l.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/finger_l.STL,,gripper-1/block-adapter_v0.1.0-1;gripper-1/finger_v0.1.0-1,Origin_finger_joint_l,基准轴7,finger_joint_l,prismatic,0.058266,0,0.021,0,0,0,gripper,1,0,0,1,1,-0.04,0,,,,,,,,
finger_r,-0.0423388609776856,-0.000349362077044446,0.0165725767240663,0,0,0,0.033874980250858,1.47424895712606E-05,7.05235865158504E-10,2.35325432195153E-06,1.10809301447223E-05,-9.87570324370626E-08,8.84165155702512E-06,0,0,0,0,0,0,package://dk2.SLDASM/meshes/finger_r.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://dk2.SLDASM/meshes/finger_r.STL,,gripper-1/block-adapter_v0.1.0-3;gripper-1/finger_v0.1.0-3,Origin_finger_joint_r,基准轴7,finger_joint_r,prismatic,-0.060306,0,0.021,0,0,3.1416,gripper,-1,0,0,1,1,0,0.04,,,,,,,,
